No,Asset_ID,Ad,Grup,Poly_Haven_Sayfasi,EXR_2K_Direkt_Indirme
1,vintage_measuring_lab,Vintage Measuring Lab,Endustriyel_Atolye,https://polyhaven.com/a/vintage_measuring_lab,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/vintage_measuring_lab_2k.exr
2,machine_shop_01,Machine Shop 01,Endustriyel_Atolye,https://polyhaven.com/a/machine_shop_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/machine_shop_01_2k.exr
3,machine_shop_02,Machine Shop 02,Endustriyel_Atolye,https://polyhaven.com/a/machine_shop_02,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/machine_shop_02_2k.exr
4,machine_shop_03,Machine Shop 03,Endustriyel_Atolye,https://polyhaven.com/a/machine_shop_03,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/machine_shop_03_2k.exr
5,industrial_workshop_foundry,Industrial Workshop Foundry,Endustriyel_Atolye,https://polyhaven.com/a/industrial_workshop_foundry,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/industrial_workshop_foundry_2k.exr
6,autoshop_01,Autoshop 01,Endustriyel_Atolye,https://polyhaven.com/a/autoshop_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/autoshop_01_2k.exr
7,aerodynamics_workshop,Aerodynamics Workshop,Endustriyel_Atolye,https://polyhaven.com/a/aerodynamics_workshop,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/aerodynamics_workshop_2k.exr
8,university_workshop,University Workshop,Endustriyel_Atolye,https://polyhaven.com/a/university_workshop,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/university_workshop_2k.exr
9,boiler_room,Boiler Room,Endustriyel_Atolye,https://polyhaven.com/a/boiler_room,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/boiler_room_2k.exr
10,industrial_pipe_and_valve_01,Industrial Pipe and Valve 01,Endustriyel_Atolye,https://polyhaven.com/a/industrial_pipe_and_valve_01,https://dl.polyhaven.org/file/ph-assets/HDRIs/exr/2k/industrial_pipe_and_valve_01_2k.exr
